Rating,MRP,Brand,Operating_System,RAM,Display_inchs,RAM_Type,Processor,Disc Size,Disc Type
4.0,25950,Lenovo,Windows 10,4 GB,14,DDR4,Intel,256GB,SSD
4.2,64999,realme,Windows 11,16 GB,14,LPDDR4X,Intel,512GB,SSD
4.4,60990,HP,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,36990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.6,59990,SAMSUNG,Windows 11,8 GB,15.6,LPDDR4X,Intel,256GB,SSD
4.8,222990,APPLE,Mac,16 GB,16.2,Unified,Apple,512GB,SSD
4.3,235283,DELL,Windows 11,16 GB,15.6,DDR5,Intel,1TB,SSD
4.0,38990,DELL,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.5,67990,ASUS,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
4.5,79990,MSI,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.3,89990,ASUS,Windows 11,16 GB,15.6,LPDDR5,Intel,512GB,SSD
4.7,241990,ASUS,Windows 11,32 GB,16,DDR5,Intel,1TB,SSD
4.3,43490,ASUS,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.0,40990,Vaio,Windows 10,8 GB,15.6,DDR4,AMD,512GB,SSD
4.7,94990,APPLE,Mac,8 GB,13.3,DDR4,Apple,256GB,SSD
4.5,114990,MSI,Windows 10,16 GB,15.6,DDR4,Intel,1TB,SSD
4.6,121990,APPLE,Mac,8 GB,13.3,Unified,Apple,256GB,SSD
4.1,27990,ASUS,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.2,40190,DELL,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.1,34990,Lenovo,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.7,94990,ASUS,Windows 10,16 GB,14,LPDDR4X,Intel,1TB,SSD
4.4,69990,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,59990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
5.0,66990,ASUS,Windows 11,16 GB,14,DDR4,Intel,512GB,SSD
4.3,104990,ASUS,Windows 11,16 GB,13.3,LPDDR4X,Intel,512GB,SSD
4.3,54900,DELL,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.7,136990,Lenovo,Windows 11,16 GB,16,DDR4,AMD,1TB,SSD
4.3,48184,DELL,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.5,74990,ASUS,Windows 11,16 GB,14,DDR4,Intel,512GB,SSD
4.8,60990,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.2,49990,HP,Windows 11,8 GB,14,DDR4,AMD,512GB,SSD
4.4,67990,DELL,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,58000,Lenovo,Windows 10,8 GB,14,DDR4,Intel,512GB,SSD
4.3,29990,Infinix,Windows 11,8 GB,14,LPDDR4X,Intel,256GB,SSD
4.3,114990,ASUS,Windows 11,16 GB,13.4,LPDDR5,AMD,1TB,SSD
4.3,33990,HP,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.4,64990,ASUS,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
4.3,79990,Lenovo,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.5,56990,ASUS,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.7,81990,HP,Windows 11,16 GB,13.3,DDR4,AMD,512GB,SSD
4.5,129990,MSI,Windows 10,16 GB,15.6,DDR4,Intel,1TB,SSD
4.0,38990,DELL,Windows 10,8 GB,15.6,DDR4,AMD,1TB,HDD
4.5,79990,HP,Windows 10,16 GB,15.6,DDR4,AMD,1TB,HDD
4.7,139990,APPLE,Mac,8 GB,13.6,Unified,Apple,512GB,SSD
4.1,109990,ASUS,Windows 11,16 GB,17.3,DDR5,Intel,1TB,SSD
4.3,154990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
4.2,62990,Lenovo,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.4,47990,ASUS,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.6,43667,DELL,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.5,135990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
4.4,98990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,512GB,SSD
4.2,46990,Infinix,Windows 11,16 GB,14,LPDDR4X,Intel,512GB,SSD
4.3,35990,ASUS,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.3,109990,ASUS,Windows 11,16 GB,17.3,DDR5,Intel,1TB,SSD
4.3,139990,APPLE,Mac,8 GB,13.6,Unified,Apple,512GB,SSD
4.3,74770,DELL,Windows 11,8 GB,14,DDR4,Intel,512GB,SSD
4.3,40799,HP,Windows 11,8 GB,14,DDR4,AMD,512GB,SSD
4.5,69490,ASUS,Windows 10,16 GB,15.6,DDR4,Intel,512GB,SSD
4.8,99990,ASUS,Windows 11,16 GB,13.3,LPDDR5,AMD,512GB,SSD
3.9,40990,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,60390,HP,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.4,69990,HP,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.0,44990,ASUS,Windows 11,8 GB,14,DDR4,Intel,256GB,SSD
4.7,44990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,256GB,SSD
4.3,55990,HP,Windows 11,16 GB,15.6,DDR4,AMD,512GB,SSD
4.3,74990,Lenovo,Windows 11,16 GB,14,LPDDR4X,Intel,512GB,SSD
4.5,59990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,1TB,SSD
4.3,62990,acer,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.5,58499,MSI,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,65990,Lenovo,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.0,111990,DELL,Windows 11,16 GB,15.6,DDR5,Intel,512GB,SSD
4.3,68490,Lenovo,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.3,83990,ASUS,Windows 10,8 GB,14,DDR4,Intel,1TB,HDD
4.3,54990,acer,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.0,14990,ASUS,Chrome,4 GB,11.6,LPDDR4,Intel,32GB,SSD
4.7,149990,APPLE,Mac,8 GB,13.3,DDR4,Apple,1TB,SSD
3.9,63090,DELL,Windows 10,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,200000,MSI,Windows 11,16 GB,15.6,DDR5,Intel,1TB,SSD
4.3,37390,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,256GB,SSD
4.5,63990,ASUS,Windows 11,8 GB,14,LPDDR4X,Intel,512GB,SSD
4.1,43090,DELL,Windows 10,8 GB,14,DDR4,Intel,512GB,SSD
4.1,44700,Lenovo,Windows 10,4 GB,15.6,DDR4,Intel,256GB,SSD
4.4,41150,HP,Windows 10,8 GB,14,DDR4,Intel,256GB,SSD
